var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape
0,0,0,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25
0,1,1,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0001_d000001.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25
0,2,2,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0002_d000002.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25
0,3,3,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0003_d000003.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25
0,4,4,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0004_d000004.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25
1,0,100000,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0000_d000005.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25
1,1,100001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0001_d000006.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25
1,2,100002,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0002_d000007.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25
1,3,100003,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0003_d000008.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25
1,4,100004,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0004_d000009.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25
2,0,200000,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0002_iter0000_d000010.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.9790242649458387,2.7796294070338834,0.25,0.25
2,1,200001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0002_iter0001_d000011.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.9790242649458387,2.7796294070338834,0.25,0.25
2,2,200002,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0002_iter0002_d000012.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.9790242649458387,2.7796294070338834,0.25,0.25
2,3,200003,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0002_iter0003_d000013.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.9790242649458387,2.7796294070338834,0.25,0.25
2,4,200004,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0002_iter0004_d000014.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.9790242649458387,2.7796294070338834,0.25,0.25
3,0,300000,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0003_iter0000_d000015.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.8755865357159331,2.732571584116577,0.25,0.25
3,1,300001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0003_iter0001_d000016.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.8755865357159331,2.732571584116577,0.25,0.25
3,2,300002,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0003_iter0002_d000017.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.8755865357159331,2.732571584116577,0.25,0.25
3,3,300003,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0003_iter0003_d000018.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.8755865357159331,2.732571584116577,0.25,0.25
3,4,300004,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0003_iter0004_d000019.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.8755865357159331,2.732571584116577,0.25,0.25
4,0,400000,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0004_iter0000_d000020.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.3596542686448618,2.514857670676679,0.25,0.25
4,1,400001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0004_iter0001_d000021.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.3596542686448618,2.514857670676679,0.25,0.25
4,2,400002,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0004_iter0002_d000022.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.3596542686448618,2.514857670676679,0.25,0.25
4,3,400003,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0004_iter0003_d000023.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.3596542686448618,2.514857670676679,0.25,0.25
4,4,400004,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0004_iter0004_d000024.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.3596542686448618,2.514857670676679,0.25,0.25
