trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,22,Incongruent,13b_0.918_0.735.png,4.85990571975708,0.916,0.736,7.401270627975464,0.0,1.0,1.646305799484253,hidden,2.646305799484253,2.0,1.754964828491211,fixation,1.0
1,1,3,Medium,3_0.408_0.429.png,4.85990571975708,0.416,0.422,7.509929656982422,12.261176109313965,1.0,1.754964828491211,hidden,15.016140937805176,2.0,1.754964828491211,fixation,1.0
2,1,18,Congruent,18_0.531_0.327.png,3.625117301940918,0.537,0.335,7.4418922662734985,24.631011962890625,1.0,1.6869274377822876,hidden,27.31793975830078,2.0,1.754964828491211,fixation,1.0
3,1,2,Congruent,2_0.571_0.224.png,3.6918997764587402,0.579,0.228,7.370481848716736,35.698020935058594,1.0,1.615517020225525,hidden,38.31353759765625,2.0,1.754964828491211,fixation,1.0
4,1,1,Incongruent,1_0.612_0.286.png,4.85990571975708,0.619,0.291,7.122036337852478,46.76040267944336,1.0,1.754964828491211,hidden,49.5153694152832,2.0,1.367071509361267,fixation,1.0
5,1,9,Congruent,9_0.367_0.490.png,4.85990571975708,0.374,0.482,7.0051432847976685,58.74234390258789,1.0,1.5459413528442383,hidden,61.28828811645508,2.0,1.4592019319534302,fixation,1.0
6,1,8,Medium,8_0.796_0.408.png,4.770607948303223,0.804,0.406,7.2839661836624146,70.60739135742188,1.0,1.754964828491211,hidden,73.36235809326172,2.0,1.5290013551712036,fixation,1.0
7,1,11,Incongruent,11_0.286_0.571.png,4.85990571975708,0.282,0.565,6.838674783706665,82.6619644165039,1.0,1.405118465423584,hidden,85.06708526611328,2.0,1.433556318283081,fixation,1.0
8,1,20,Medium,20_1.000_0.245.png,4.85990571975708,1.0,0.246,7.138550400733948,94.36054992675781,1.0,1.754964828491211,hidden,97.11551666259766,2.0,1.3835855722427368,fixation,1.0
9,1,9,Congruent,9_0.286_0.143.png,4.85990571975708,0.294,0.136,7.099378824234009,106.35900115966797,1.0,1.6931145191192627,hidden,109.05211639404297,2.0,1.406264305114746,fixation,1.0
10,1,1,Incongruent,1_0.714_0.612.png,4.85990571975708,0.721,0.619,7.509929656982422,118.31829071044922,1.0,1.754964828491211,hidden,121.07325744628906,2.0,1.754964828491211,fixation,1.0
11,1,11,Incongruent,11_0.102_0.837.png,4.407413959503174,0.111,0.845,7.394873023033142,130.68812561035156,1.0,1.754964828491211,hidden,133.44308471679688,2.0,1.6399081945419312,fixation,1.0
12,1,8,Medium,8_0.469_0.592.png,4.85990571975708,0.461,0.591,7.496559977531433,142.49041748046875,1.0,1.7415951490402222,hidden,145.2320098876953,2.0,1.754964828491211,fixation,1.0
13,1,9,Congruent,9_0.286_0.490.png,4.85990571975708,0.284,0.483,7.509929656982422,154.8468780517578,1.0,1.754964828491211,hidden,157.60183715820312,2.0,1.754964828491211,fixation,1.0
14,1,2,Congruent,2_0.551_0.388.png,4.85990571975708,0.546,0.389,7.117050051689148,167.21670532226562,1.0,1.5466543436050415,hidden,169.76336669921875,2.0,1.5703957080841064,fixation,1.0
15,1,8,Medium,8_0.510_0.245.png,3.9000914096832275,0.52,0.251,7.261619329452515,179.19366455078125,1.0,1.5066545009613037,hidden,181.7003173828125,2.0,1.754964828491211,fixation,1.0
16,1,20,Medium,20_0.204_0.000.png,4.85990571975708,0.211,0.009,7.13513970375061,190.35537719726562,1.0,1.754964828491211,hidden,193.1103515625,2.0,1.3801748752593994,fixation,1.0
17,1,22,Incongruent,13b_0.714_0.510.png,4.85990571975708,0.714,0.507,7.23102879524231,202.3504180908203,1.0,1.4760639667510986,hidden,204.8264923095703,2.0,1.754964828491211,fixation,1.0
18,1,18,Congruent,18_0.020_0.143.png,4.43801736831665,0.02,0.142,7.509929656982422,214.4413604736328,1.0,1.754964828491211,hidden,217.19631958007812,2.0,1.754964828491211,fixation,1.0
