rank_stage1,var_idx,best_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,166,1,965.153579780429,1019.3628073318913,1019.3877772863949,design_optimisation\optim_out_gui_latest\designs\cand_rank0000.csv
1,194,0,965.3308920013606,1021.103071693658,1023.3401095529522,design_optimisation\optim_out_gui_latest\designs\cand_rank0001.csv
2,45,4,966.2316238752894,1023.563660219138,1027.3574684626938,design_optimisation\optim_out_gui_latest\designs\cand_rank0002.csv
3,198,0,966.3080432832725,1024.1967180520005,1024.951520228364,design_optimisation\optim_out_gui_latest\designs\cand_rank0003.csv
4,12,0,966.4658723020386,1022.6316853372371,1024.1386330870869,design_optimisation\optim_out_gui_latest\designs\cand_rank0004.csv
5,96,1,967.1591267685342,1025.6666633705556,1026.4749119336068,design_optimisation\optim_out_gui_latest\designs\cand_rank0005.csv
6,84,2,967.2434830793047,1021.0117401004633,1023.3255973566767,design_optimisation\optim_out_gui_latest\designs\cand_rank0006.csv
7,65,3,967.474544866669,1028.471696172072,1034.5481602851687,design_optimisation\optim_out_gui_latest\designs\cand_rank0007.csv
8,102,4,967.6100576088545,1027.3361091132472,1027.3731964630692,design_optimisation\optim_out_gui_latest\designs\cand_rank0008.csv
9,182,1,967.7950300706027,1023.528112150981,1028.829672868863,design_optimisation\optim_out_gui_latest\designs\cand_rank0009.csv
10,106,0,967.8680910932175,1022.8031072904505,1029.6172475709798,design_optimisation\optim_out_gui_latest\designs\cand_rank0010.csv
11,164,1,968.135575778783,1025.905428317624,1028.189121455525,design_optimisation\optim_out_gui_latest\designs\cand_rank0011.csv
12,178,2,973.902144024787,1038.939801720229,1046.384439354437,design_optimisation\optim_out_gui_latest\designs\cand_rank0012.csv
13,13,0,1014.8843022923384,1020.9709689315824,1023.3389589637723,design_optimisation\optim_out_gui_latest\designs\cand_rank0013.csv
14,66,2,1015.0273368097957,1020.10300540118,1020.902845615702,design_optimisation\optim_out_gui_latest\designs\cand_rank0014.csv
15,172,0,1015.1054996588739,1021.9049481717592,1024.9145615083255,design_optimisation\optim_out_gui_latest\designs\cand_rank0015.csv
16,0,1,1015.1938185060069,1022.7661717617246,1026.5636878404644,design_optimisation\optim_out_gui_latest\designs\cand_rank0016.csv
17,4,2,1015.2229050444842,1020.132601543259,1020.903170847434,design_optimisation\optim_out_gui_latest\designs\cand_rank0017.csv
18,91,1,1015.4116042385518,1018.7983494279114,1022.5805009392843,design_optimisation\optim_out_gui_latest\designs\cand_rank0018.csv
19,133,3,1015.4715933710659,1019.4452030998409,1020.9641822073494,design_optimisation\optim_out_gui_latest\designs\cand_rank0019.csv
20,195,2,1015.5011403413085,1020.8661333282572,1020.9641538052034,design_optimisation\optim_out_gui_latest\designs\cand_rank0020.csv
21,67,1,1015.5358857115547,1020.8842856793804,1020.8855202124365,design_optimisation\optim_out_gui_latest\designs\cand_rank0021.csv
22,162,1,1015.5941968864939,1020.1211307966737,1020.9697687998319,design_optimisation\optim_out_gui_latest\designs\cand_rank0022.csv
23,144,0,1015.5968594436652,1020.8730854757831,1021.740583376899,design_optimisation\optim_out_gui_latest\designs\cand_rank0023.csv
24,124,0,1015.6693772284568,1021.0261937665739,1024.9645404952282,design_optimisation\optim_out_gui_latest\designs\cand_rank0024.csv
