var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
166,20,965.153579780429,1019.3628073318913,1019.3877772863949,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0366_iter0001_d003831.csv,1
194,20,965.3308920013606,1021.103071693658,1023.3401095529522,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0394_iter0000_d003970.csv,0
45,20,966.2316238752894,1023.563660219138,1027.3574684626938,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0045_iter0004_d000229.csv,4
198,20,966.3080432832725,1024.1967180520005,1024.951520228364,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0398_iter0000_d001990.csv,0
12,20,966.4658723020386,1022.6316853372371,1024.1386330870869,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0212_iter0000_d002060.csv,0
96,20,967.1591267685342,1025.6666633705556,1026.4749119336068,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0296_iter0001_d003481.csv,1
84,20,967.2434830793047,1021.0117401004633,1023.3255973566767,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0284_iter0002_d002422.csv,2
65,20,967.474544866669,1028.471696172072,1034.5481602851687,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0265_iter0003_d002328.csv,3
102,20,967.6100576088545,1027.3361091132472,1027.3731964630692,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0302_iter0004_d003514.csv,4
182,20,967.7950300706027,1023.528112150981,1028.829672868863,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0382_iter0001_d003911.csv,1
106,20,967.8680910932175,1022.8031072904505,1029.6172475709798,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0306_iter0000_d003530.csv,0
164,20,968.135575778783,1025.905428317624,1028.189121455525,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0364_iter0001_d001821.csv,1
178,20,973.902144024787,1038.939801720229,1046.384439354437,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0378_iter0002_d001892.csv,2
13,20,1014.8843022923384,1020.9709689315824,1023.3389589637723,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0213_iter0000_d002065.csv,0
66,20,1015.0273368097957,1020.10300540118,1020.902845615702,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0266_iter0002_d002332.csv,2
172,20,1015.1054996588739,1021.9049481717592,1024.9145615083255,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0372_iter0000_d003860.csv,0
0,20,1015.1938185060069,1022.7661717617246,1026.5636878404644,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0200_iter0001_d003001.csv,1
4,20,1015.2229050444842,1020.132601543259,1020.903170847434,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0204_iter0002_d003022.csv,2
91,20,1015.4116042385518,1018.7983494279114,1022.5805009392843,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0291_iter0001_d002456.csv,1
133,20,1015.4715933710659,1019.4452030998409,1020.9641822073494,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0133_iter0003_d000668.csv,3
195,20,1015.5011403413085,1020.8661333282572,1020.9641538052034,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0195_iter0002_d000977.csv,2
67,20,1015.5358857115547,1020.8842856793804,1020.8855202124365,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0267_iter0001_d002336.csv,1
162,20,1015.5941968864939,1020.1211307966737,1020.9697687998319,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0162_iter0001_d000811.csv,1
144,20,1015.5968594436652,1020.8730854757831,1021.740583376899,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0344_iter0000_d002720.csv,0
124,20,1015.6693772284568,1021.0261937665739,1024.9645404952282,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0324_iter0000_d001620.csv,0
95,20,1015.8035397661982,1020.2928493374696,1022.5722784117536,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0295_iter0001_d003476.csv,1
10,20,1015.8227583938094,1020.9911159773405,1021.7525465273735,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0210_iter0000_d003050.csv,0
