var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape
0,0,0,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0122920571808585,1.217047189198436,0.25,0.25
1,0,100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.181990732730154,1.4680780873677481,0.25,0.25
2,0,200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.2447560662364596,1.4449073517584707,0.25,0.25
3,0,300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.2188966339289833,1.4331428960291441,0.25,0.25
4,0,400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.0899135671612155,1.3787144176691697,0.25,0.25
5,0,500000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,1.201187324408089,1.4651378516617628,0.25,0.25
6,0,600000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.2991629807367633,1.4999839588093824,0.25,0.25
7,0,700000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,1.2065340191712821,1.4428849415287908,0.25,0.25
8,0,800000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,1.1576062967427179,1.4017827863090424,0.25,0.25
9,0,900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.2802130547868749,1.4872927287416766,0.25,0.25
10,0,1000000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0010_iter0000_d000010.csv,uniform,uniform,0.8429178984378567,1.3256647579241874,1.178290009059909,1.4194171812549372,0.25,0.25
11,0,1100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0011_iter0000_d000011.csv,uniform,uniform,0.7349714003168968,1.4599470003629882,1.0681472780600139,1.4126349138334808,0.25,0.25
12,0,1200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0012_iter0000_d000012.csv,uniform,uniform,0.5504092061494309,1.4080227642532923,1.236129492246605,1.4514181401112123,0.25,0.25
13,0,1300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0013_iter0000_d000013.csv,uniform,uniform,1.0258905384864225,1.4302309840077438,1.1008351181636982,1.3307655104302312,0.25,0.25
14,0,1400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0014_iter0000_d000014.csv,uniform,uniform,0.7702036199895722,1.4328284816447674,1.0691926626981243,1.28119956067978,0.25,0.25
15,0,1500000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0015_iter0000_d000015.csv,uniform,uniform,0.742731103892917,1.2136536401675948,1.0272259136857367,1.3855255500318762,0.25,0.25
16,0,1600000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0016_iter0000_d000016.csv,uniform,uniform,0.6792176796913536,1.3619812436733563,1.059854633190464,1.4860987316891199,0.25,0.25
17,0,1700000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0017_iter0000_d000017.csv,uniform,uniform,0.7190661009468972,1.159252829125282,1.1887324454619128,1.4918946652606275,0.25,0.25
18,0,1800000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0018_iter0000_d000018.csv,uniform,uniform,0.7642262928294704,1.4847526817257553,1.1499687441062942,1.4137663287343545,0.25,0.25
19,0,1900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0019_iter0000_d000019.csv,uniform,uniform,0.8721280712092268,1.498882631190158,1.2846831024813297,1.4917295667340895,0.25,0.25
20,0,2000000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0020_iter0000_d000020.csv,uniform,uniform,0.954637307184975,1.4269440096683634,1.158793648059031,1.4697515802642058,0.25,0.25
21,0,2100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0021_iter0000_d000021.csv,uniform,uniform,0.7487935096134025,1.4067489071079347,1.213342863396925,1.4941124869819997,0.25,0.25
22,0,2200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0022_iter0000_d000022.csv,uniform,uniform,0.5689595799685432,1.3560960739500283,1.278227178587368,1.4993016626612066,0.25,0.25
23,0,2300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0023_iter0000_d000023.csv,uniform,uniform,0.5088237829792216,1.4193872643980847,1.2943585120199033,1.4997586017426048,0.25,0.25
24,0,2400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0024_iter0000_d000024.csv,uniform,uniform,0.5892584073394987,1.486020396778929,1.2669806667161563,1.4941349022117112,0.25,0.25
25,0,2500000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0025_iter0000_d000025.csv,uniform,uniform,0.7879927542846994,1.2604947889201816,1.2405641736154924,1.4954549518532392,0.25,0.25
26,0,2600000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0026_iter0000_d000026.csv,uniform,uniform,0.6596781633753755,1.296982751559781,1.1328258486923595,1.4884678783442264,0.25,0.25
27,0,2700000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0027_iter0000_d000027.csv,uniform,uniform,0.5243064267130608,1.3457176891587648,1.184311974084699,1.387593507179049,0.25,0.25
28,0,2800000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0028_iter0000_d000028.csv,uniform,uniform,0.9315318636960442,1.3342259605651574,1.2273853007069284,1.4646191212065034,0.25,0.25
29,0,2900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0029_iter0000_d000029.csv,uniform,uniform,1.0574625324782039,1.4602735145363632,1.252395183883715,1.4555699494878662,0.25,0.25
