trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,1.3100214004516602,,,fixation,10.0,run_start,2.677507519721985,0.0,0.0,1.3077189922332764,hidden,1.3077189922332764,0.0,1.3697885274887085,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,1.4540021419525146,0.635,0.752,,,,7.330626964569092,3.9875288009643555,1.0,1.114632248878479,hidden,6.102161407470703,3.0,1.2159947156906128,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,1.4417170286178589,0.414,0.435,,,,7.846686482429504,12.772157669067383,1.0,1.4079005718231201,hidden,15.180058479309082,3.0,1.4387859106063843,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,1.1998049020767212,0.936,0.065,,,,7.26149845123291,22.060562133789062,1.0,1.1076306104660034,hidden,24.16819190979004,3.0,1.1538678407669067,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,1.3899857997894287,0.665,0.336,,,,7.372007608413696,30.521865844726562,1.0,1.1936553716659546,hidden,32.715518951416016,3.0,1.1783522367477417,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,1.4640535116195679,0.214,0.0,,,,7.393431663513184,39.28385925292969,1.0,1.1989952325820923,hidden,41.482852935791016,3.0,1.1944364309310913,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,1.289755940437317,1.0,0.834,,,,7.395748019218445,48.14134216308594,1.0,1.2122979164123535,hidden,50.353641510009766,3.0,1.1834501028060913,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,1.3463190793991089,0.457,0.389,,,,7.587471008300781,56.826847076416016,1.0,1.3310920000076294,hidden,59.15793991088867,3.0,1.2563790082931519,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,1.4200679063796997,0.613,0.206,,,,7.451456308364868,65.76063537597656,1.0,1.1974667310714722,hidden,67.9581069946289,3.0,1.253989577293396,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,1.415418267250061,0.322,0.979,,,,7.31803286075592,74.63216400146484,1.0,1.1574732065200806,hidden,76.78963470458984,3.0,1.1605596542358398,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,1.3777732849121094,0.751,0.683,,,,7.700223684310913,83.36561584472656,1.0,1.3168305158615112,hidden,85.68244171142578,3.0,1.3833931684494019,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,1.3934074640274048,0.944,0.345,,,,7.592486500740051,92.44361114501953,1.0,1.3849118947982788,hidden,94.82852172851562,3.0,1.2075746059417725,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,1.241495132446289,0.34,0.045,,,,7.50171434879303,101.42950439453125,1.0,1.3030191659927368,hidden,103.7325210571289,3.0,1.198695182800293,fixation,1.0
13,1,22.0,Congruent,13b_0.694_0.612.png,1.4558734893798828,0.689,0.604,,,,7.590606451034546,110.17271423339844,1.0,1.4687165021896362,hidden,112.64142608642578,3.0,1.1218899488449097,fixation,1.0
14,1,8.0,Congruent,8_0.878_0.939.png,1.4201443195343018,0.887,0.948,,,,7.395641565322876,119.21919250488281,1.0,1.2312544584274292,hidden,121.45044708251953,3.0,1.1643871068954468,fixation,1.0
15,1,1.0,Medium,1_0.714_0.551.png,1.348352313041687,0.717,0.552,,,,7.83030903339386,128.03497314453125,1.0,1.4832484722137451,hidden,130.5182342529297,3.0,1.3470605611801147,fixation,1.0
16,1,3.0,Incongruent,3_0.408_0.245.png,1.260367751121521,0.415,0.25,,,,7.263745903968811,137.21363830566406,1.0,1.149832010269165,hidden,139.3634796142578,3.0,1.113913893699646,fixation,1.0
17,1,18.0,Incongruent,18_0.224_0.551.png,1.3902522325515747,0.218,0.554,,,,7.723337411880493,145.7377471923828,1.0,1.4116488695144653,hidden,148.14939880371094,3.0,1.3116885423660278,fixation,1.0
18,1,11.0,Congruent,11_0.612_0.755.png,1.3979747295379639,0.615,0.751,,,,7.310783505439758,154.85134887695312,1.0,1.1454206705093384,hidden,156.99676513671875,3.0,1.16536283493042,fixation,1.0
19,1,9.0,Medium,9_0.408_0.204.png,1.3586366176605225,0.405,0.202,,,,7.583713054656982,163.5601043701172,1.0,1.1419107913970947,hidden,165.70201110839844,3.0,1.4418022632598877,fixation,1.0
20,1,8.0,Congruent,8_0.796_0.367.png,1.2102112770080566,0.79,0.362,,,,7.254250764846802,172.50245666503906,1.0,1.1061501502990723,hidden,174.6085968017578,3.0,1.1481006145477295,fixation,1.0
21,1,18.0,Incongruent,18_0.367_0.612.png,1.3541600704193115,0.367,0.622,,,,7.513620018959045,180.9669189453125,1.0,1.199529767036438,hidden,183.16644287109375,3.0,1.3140902519226074,fixation,1.0
22,1,9.0,Medium,9_0.184_0.837.png,1.3991589546203613,0.175,0.84,,,,7.34870982170105,189.83468627929688,1.0,1.2029038667678833,hidden,192.03759765625,3.0,1.1458059549331665,fixation,1.0
23,1,22.0,Congruent,13b_1.000_0.714.png,1.222809076309204,1.0,0.706,,,,7.745128870010376,198.5825653076172,1.0,1.268700361251831,hidden,200.85125732421875,3.0,1.476428508758545,fixation,1.0
24,1,8.0,Congruent,8_1.000_0.755.png,1.2257442474365234,1.0,0.756,,,,7.378023386001587,207.55050659179688,1.0,1.2863837480545044,hidden,209.83688354492188,3.0,1.0916396379470825,fixation,1.0
25,1,20.0,Medium,20_0.694_0.673.png,1.4611493349075317,0.686,0.671,,,,7.756972670555115,216.15426635742188,1.0,1.4479930400848389,hidden,218.60226440429688,3.0,1.3089796304702759,fixation,1.0
26,1,11.0,Congruent,11_0.041_0.429.png,1.2359191179275513,0.041,0.434,,,,7.731940507888794,225.3723907470703,1.0,1.3240110874176025,hidden,227.69639587402344,3.0,1.4079294204711914,fixation,1.0
27,1,2.0,Incongruent,2_0.837_0.347.png,1.4722439050674438,0.843,0.354,,,,7.565513491630554,234.3402557373047,1.0,1.2284388542175293,hidden,236.56869506835938,3.0,1.337074637413025,fixation,1.0
28,1,,Fixation,,1.4109785556793213,,,fixation,5.0,run_end,2.5010725259780884,243.3780059814453,0.0,1.2280603647232056,hidden,244.60606384277344,0.0,1.2730121612548828,fixation,0.0
29,2,,Fixation,,1.314387321472168,,,fixation,10.0,run_start,2.5873106718063354,0.0,0.0,1.3139201402664185,hidden,1.3139201402664185,0.0,1.273390531539917,fixation,0.0
30,2,8.0,Congruent,8_0.286_0.571.png,1.2589582204818726,0.279,0.568,,,,7.7229509353637695,3.901698112487793,1.0,1.3686107397079468,hidden,6.270308494567871,3.0,1.3543401956558228,fixation,1.0
31,2,9.0,Medium,9_0.224_0.265.png,1.3266745805740356,0.216,0.259,,,,7.386193513870239,12.883606910705566,1.0,1.1716448068618774,hidden,15.055252075195312,3.0,1.2145487070083618,fixation,1.0
32,2,2.0,Incongruent,2_0.959_0.551.png,1.3152720928192139,0.957,0.551,,,,7.702106833457947,21.59647560119629,1.0,1.4433343410491943,hidden,24.039810180664062,3.0,1.2587724924087524,fixation,1.0
33,2,18.0,Incongruent,18_0.204_0.469.png,1.2651885747909546,0.211,0.467,,,,7.443822026252747,30.613853454589844,1.0,1.191388487815857,hidden,32.80524444580078,3.0,1.2524335384368896,fixation,1.0
34,2,22.0,Congruent,13b_0.490_0.449.png,1.207137942314148,0.498,0.452,,,,7.441780090332031,39.3228645324707,1.0,1.3139108419418335,hidden,41.636775970458984,3.0,1.1278692483901978,fixation,1.0
