rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,154,0,1009.3406599290838,1009.3406599290838,1009.3406599290838,1009.3406599290838,design_optimisation\optim_out_v4_1\designs\cand_rank0000.csv
1,1681,0,1010.0584364653421,1010.0584364653421,1010.0584364653421,1010.0584364653421,design_optimisation\optim_out_v4_1\designs\cand_rank0001.csv
2,960,0,1010.1085596578455,1010.1085596578455,1010.1085596578455,1010.1085596578455,design_optimisation\optim_out_v4_1\designs\cand_rank0002.csv
3,351,0,1010.1455659920998,1010.1455659920998,1010.1455659920998,1010.1455659920998,design_optimisation\optim_out_v4_1\designs\cand_rank0003.csv
4,136,0,1010.1700986660574,1010.1700986660574,1010.1700986660574,1010.1700986660574,design_optimisation\optim_out_v4_1\designs\cand_rank0004.csv
5,2357,0,1010.8085076317637,1010.8085076317637,1010.8085076317637,1010.8085076317637,design_optimisation\optim_out_v4_1\designs\cand_rank0005.csv
6,1559,0,1010.8278718722673,1010.8278718722673,1010.8278718722673,1010.8278718722673,design_optimisation\optim_out_v4_1\designs\cand_rank0006.csv
7,2014,0,1010.867057343521,1010.867057343521,1010.867057343521,1010.867057343521,design_optimisation\optim_out_v4_1\designs\cand_rank0007.csv
8,1308,0,1010.8734610508973,1010.8734610508973,1010.8734610508973,1010.8734610508973,design_optimisation\optim_out_v4_1\designs\cand_rank0008.csv
9,1755,0,1010.9203208136635,1010.9203208136635,1010.9203208136635,1010.9203208136635,design_optimisation\optim_out_v4_1\designs\cand_rank0009.csv
10,1734,0,1010.9326930824985,1010.9326930824985,1010.9326930824985,1010.9326930824985,design_optimisation\optim_out_v4_1\designs\cand_rank0010.csv
11,472,0,1010.9513342222701,1010.9513342222701,1010.9513342222701,1010.9513342222701,design_optimisation\optim_out_v4_1\designs\cand_rank0011.csv
12,2332,0,1010.9582373431128,1010.9582373431128,1010.9582373431128,1010.9582373431128,design_optimisation\optim_out_v4_1\designs\cand_rank0012.csv
13,29,0,1010.9799649872953,1010.9799649872953,1010.9799649872953,1010.9799649872953,design_optimisation\optim_out_v4_1\designs\cand_rank0013.csv
14,1353,0,1010.9859961638446,1010.9859961638446,1010.9859961638446,1010.9859961638446,design_optimisation\optim_out_v4_1\designs\cand_rank0014.csv
15,399,0,1010.9934097101764,1010.9934097101764,1010.9934097101764,1010.9934097101764,design_optimisation\optim_out_v4_1\designs\cand_rank0015.csv
16,41,0,1010.9945013912427,1010.9945013912427,1010.9945013912427,1010.9945013912427,design_optimisation\optim_out_v4_1\designs\cand_rank0016.csv
17,358,0,1010.9971576123229,1010.9971576123229,1010.9971576123229,1010.9971576123229,design_optimisation\optim_out_v4_1\designs\cand_rank0017.csv
18,732,0,1011.0011968751581,1011.0011968751581,1011.0011968751581,1011.0011968751581,design_optimisation\optim_out_v4_1\designs\cand_rank0018.csv
19,330,0,1011.0404286123901,1011.0404286123901,1011.0404286123901,1011.0404286123901,design_optimisation\optim_out_v4_1\designs\cand_rank0019.csv
20,2007,0,1011.5430842146861,1011.5430842146861,1011.5430842146861,1011.5430842146861,design_optimisation\optim_out_v4_1\designs\cand_rank0020.csv
21,2334,0,1011.5771265666168,1011.5771265666168,1011.5771265666168,1011.5771265666168,design_optimisation\optim_out_v4_1\designs\cand_rank0021.csv
22,2076,0,1011.5823331212774,1011.5823331212774,1011.5823331212774,1011.5823331212774,design_optimisation\optim_out_v4_1\designs\cand_rank0022.csv
23,2013,0,1011.6232626096432,1011.6232626096432,1011.6232626096432,1011.6232626096432,design_optimisation\optim_out_v4_1\designs\cand_rank0023.csv
24,2362,0,1011.645935853119,1011.645935853119,1011.645935853119,1011.645935853119,design_optimisation\optim_out_v4_1\designs\cand_rank0024.csv
25,1703,0,1011.6472385615633,1011.6472385615633,1011.6472385615633,1011.6472385615633,design_optimisation\optim_out_v4_1\designs\cand_rank0025.csv
26,1005,0,1011.6816098500893,1011.6816098500893,1011.6816098500893,1011.6816098500893,design_optimisation\optim_out_v4_1\designs\cand_rank0026.csv
27,1110,0,1011.6845164784157,1011.6845164784157,1011.6845164784157,1011.6845164784157,design_optimisation\optim_out_v4_1\designs\cand_rank0027.csv
28,916,0,1011.686254047501,1011.686254047501,1011.686254047501,1011.686254047501,design_optimisation\optim_out_v4_1\designs\cand_rank0028.csv
29,503,0,1011.6942028226377,1011.6942028226377,1011.6942028226377,1011.6942028226377,design_optimisation\optim_out_v4_1\designs\cand_rank0029.csv
30,1525,0,1011.6946088226873,1011.6946088226873,1011.6946088226873,1011.6946088226873,design_optimisation\optim_out_v4_1\designs\cand_rank0030.csv
