var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
0,0,0,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0122920571808585,1.217047189198436,0.25,0.25,0.37978142186498326,0.1687151552655541,0.04478156366566037,0.3667159673911532,0.1713632796984168,0.0462946127391429,0.30897830675057114,0.1663273600647031,0.04496641926303917,0.285054041923566,0.16569973032459334,0.045784710664982256,0.4103778168262104,0.16338318663977974,0.04428866240651308,0.42374977691123644,0.16220690884229197,0.04530354405248488,0.9506605033596018,0.21752234471360596,0.0622492299544051,16.10344827586207,0.0,16.10344827586207,0.0,0.9506605033596018,0.21752234471360596,0.9506605033596018,0.21752234471360596,0.3667159673911532,0.1713632796984168,0.285054041923566,0.16569973032459334,0.42374977691123644,0.16220690884229197,0.0,0.0,0.0,0.3667159673911532,0.1713632796984168,0.285054041923566,0.16569973032459334,0.42374977691123644,0.16220690884229197,1016.7963008722555
1,0,100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.181990732730154,1.4680780873677481,0.25,0.25,0.30762862825747034,0.16313057969541309,0.043140190729181925,0.28163310580329454,0.16706312430228443,0.04419645296479942,0.27875297239392993,0.1604697527407253,0.043488785003604175,0.25845170964056613,0.1676966389252433,0.04420094700261612,0.35346141092633054,0.1641275502706527,0.04279748896590188,0.3642168838574265,0.16567878656924018,0.043698314442186956,0.9373397183905143,0.2044347583366742,0.05848906381903961,11.96551724137931,0.0,11.96551724137931,0.0,0.9373397183905143,0.2044347583366742,0.9373397183905143,0.2044347583366742,0.28163310580329454,0.16706312430228443,0.25845170964056613,0.1676966389252433,0.3642168838574265,0.16567878656924018,0.0,0.0,0.0,0.28163310580329454,0.16706312430228443,0.25845170964056613,0.1676966389252433,0.3642168838574265,0.16567878656924018,1012.6386218589113
2,0,200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.2447560662364596,1.4449073517584707,0.25,0.25,0.38361746673067343,0.15778075405094566,0.043665292293226625,0.3639496739175959,0.1624095438693561,0.04487357018364495,0.29536580096002746,0.15474761322109748,0.04383550660697822,0.2713946624393541,0.15812834293955919,0.04454731250385435,0.4361463214615277,0.16041805432284256,0.04323023049925105,0.4471316118365749,0.1617666271817843,0.04404507989353053,0.9508441988905347,0.2066209823748437,0.05951169985462994,18.586206896551726,0.0,18.586206896551726,0.0,0.9508441988905347,0.2066209823748437,0.9508441988905347,0.2066209823748437,0.3639496739175959,0.1624095438693561,0.2713946624393541,0.15812834293955919,0.4471316118365749,0.1617666271817843,0.0,0.0,0.0,0.3639496739175959,0.1624095438693561,0.2713946624393541,0.15812834293955919,0.4471316118365749,0.1617666271817843,1019.2682499783718
3,0,300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.2188966339289833,1.4331428960291441,0.25,0.25,0.31494709092358597,0.16141132432852656,0.043478216347952764,0.28632822152732323,0.16597196261167452,0.04460271951133002,0.2924180911025851,0.1580495274720797,0.04366400044750396,0.2627550332565346,0.16336087680975045,0.04435188398259762,0.34576686649219623,0.16274829012475117,0.04302564633020714,0.34870819562659305,0.16459801697024184,0.043817998977154396,0.9385473585657681,0.20651930342414213,0.059117167865116935,15.275862068965518,0.0,15.275862068965518,0.0,0.9385473585657681,0.20651930342414213,0.9385473585657681,0.20651930342414213,0.28632822152732323,0.16597196261167452,0.2627550332565346,0.16336087680975045,0.34870819562659305,0.16459801697024184,0.0,0.0,0.0,0.28632822152732323,0.16597196261167452,0.2627550332565346,0.16336087680975045,0.34870819562659305,0.16459801697024184,1015.9516550516724
4,0,400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.0899135671612155,1.3787144176691697,0.25,0.25,0.31494709092358597,0.16072862170593047,0.04360433245810476,0.2803858531913183,0.1643779138229251,0.0447941893025918,0.28662864467321364,0.15738237642265612,0.04382079921283445,0.2616450025744982,0.15843407186453767,0.0444999404010014,0.34498089906949037,0.16285652080368943,0.043153815676533216,0.3543977419678037,0.16175607740355796,0.04404888392407466,0.9324040848080876,0.20857792797037372,0.05941853716681822,14.448275862068964,0.0,14.448275862068964,0.0,0.9324040848080876,0.20857792797037372,0.9324040848080876,0.20857792797037372,0.2803858531913183,0.1643779138229251,0.2616450025744982,0.15843407186453767,0.3543977419678037,0.16175607740355796,0.0,0.0,0.0,0.2803858531913183,0.1643779138229251,0.2616450025744982,0.15843407186453767,0.3543977419678037,0.16175607740355796,1015.1230558324434
5,0,500000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,1.201187324408089,1.4651378516617628,0.25,0.25,0.5366145688439077,0.1653842422584917,0.045579454712966316,0.5350810742611277,0.16864878721670887,0.047116324498908436,0.32521309217865907,0.17341455055808314,0.04585914509986761,0.29266460536244243,0.1718984348882577,0.047313211886822686,0.5840228294017159,0.16520026959119102,0.044904682231821084,0.6021812281430181,0.16554323278721525,0.04609791326105128,0.9854888600256199,0.22482355703931664,0.06630682296605642,16.93103448275862,0.0,16.93103448275862,0.0,0.9854888600256199,0.22482355703931664,0.9854888600256199,0.22482355703931664,0.5350810742611277,0.16864878721670887,0.29266460536244243,0.1718984348882577,0.6021812281430181,0.16554323278721525,0.0,0.0,0.0,0.5350810742611277,0.16864878721670887,0.29266460536244243,0.1718984348882577,0.6021812281430181,0.16554323278721525,1017.6486024698107
6,0,600000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.2991629807367633,1.4999839588093824,0.25,0.25,0.31511016940166625,0.16003934149874388,0.04386709662442684,0.2955361065497781,0.1625799269240058,0.0450121255024041,0.29499133474966077,0.15762597010680973,0.04402611975905446,0.2661566084596334,0.16085535198410603,0.04477904088932974,0.3899405147010486,0.1591362564769762,0.04337062228891805,0.39749004568159646,0.16076595677113012,0.04420037760187537,0.9504272128715336,0.20799421100091578,0.059976632498944894,17.758620689655174,0.0,17.758620689655174,0.0,0.9504272128715336,0.20799421100091578,0.9504272128715336,0.20799421100091578,0.2955361065497781,0.1625799269240058,0.2661566084596334,0.16085535198410603,0.39749004568159646,0.16076595677113012,0.0,0.0,0.0,0.2955361065497781,0.1625799269240058,0.2661566084596334,0.16085535198410603,0.39749004568159646,0.16076595677113012,1018.4418285070918
7,0,700000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,1.2065340191712821,1.4428849415287908,0.25,0.25,0.3359983752770202,0.16077770908318684,0.043640690372988414,0.30534367996490686,0.16478721772628965,0.04475532692030704,0.2958532888145399,0.15750251954249245,0.043924432328790036,0.26855909521151233,0.1598102760865876,0.04463435739163921,0.368348616169764,0.15969246946855942,0.0432693066537332,0.36627419980725384,0.16238964452979782,0.04409272848414313,0.9518237267607129,0.20831805180618967,0.05962691600657422,20.24137931034483,0.0,20.24137931034483,0.0,0.9518237267607129,0.20831805180618967,0.9518237267607129,0.20831805180618967,0.30534367996490686,0.16478721772628965,0.26855909521151233,0.1598102760865876,0.36627419980725384,0.16238964452979782,0.0,0.0,0.0,0.30534367996490686,0.16478721772628965,0.26855909521151233,0.1598102760865876,0.36627419980725384,0.16238964452979782,1020.9256092255314
8,0,800000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,1.1576062967427179,1.4017827863090424,0.25,0.25,0.5085208605324858,0.169479865270791,0.045250571893797,0.49261774143265247,0.16932215052625874,0.046801986023069765,0.31699538352072804,0.17317871001475743,0.0452378111768455,0.300981237436434,0.17651975697472164,0.04633679414791152,0.43306411577296633,0.16783319448766812,0.044706692586934466,0.45023717044879,0.16997147044165684,0.04581363782588255,0.9787270392334029,0.2199828692596472,0.0633757563599047,15.275862068965518,0.0,15.275862068965518,0.0,0.9787270392334029,0.2199828692596472,0.9787270392334029,0.2199828692596472,0.49261774143265247,0.16932215052625874,0.300981237436434,0.17651975697472164,0.45023717044879,0.16997147044165684,0.0,0.0,0.0,0.49261774143265247,0.16932215052625874,0.300981237436434,0.17651975697472164,0.45023717044879,0.16997147044165684,1015.9852084578418
9,0,900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.2802130547868749,1.4872927287416766,0.25,0.25,0.3490243341818824,0.15997761777085662,0.043887197023955486,0.34996195017417314,0.16163428535995666,0.0450453653223052,0.3088738240800161,0.16097249390499685,0.044121920133114306,0.29499832180656066,0.1614783473159754,0.04497459650863548,0.4170232925684377,0.15944496418065443,0.04347618877968296,0.43006754157300475,0.1586031205394033,0.044388615771721616,0.9625583119032881,0.2099482799468639,0.06010116302972435,13.620689655172413,0.0,13.620689655172413,0.0,0.9625583119032881,0.2099482799468639,0.9625583119032881,0.2099482799468639,0.34996195017417314,0.16163428535995666,0.29499832180656066,0.1614783473159754,0.43006754157300475,0.1586031205394033,0.0,0.0,0.0,0.34996195017417314,0.16163428535995666,0.29499832180656066,0.1614783473159754,0.43006754157300475,0.1586031205394033,1014.311917091071
