var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
154,1,1009.3406599290838,1009.3406599290838,1009.3406599290838,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0154_iter0000_d000154.csv,0,1009.3406599290838
1681,1,1010.0584364653421,1010.0584364653421,1010.0584364653421,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1681_iter0000_d001681.csv,0,1010.0584364653421
960,1,1010.1085596578455,1010.1085596578455,1010.1085596578455,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0960_iter0000_d000960.csv,0,1010.1085596578455
351,1,1010.1455659920998,1010.1455659920998,1010.1455659920998,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0351_iter0000_d000351.csv,0,1010.1455659920998
136,1,1010.1700986660574,1010.1700986660574,1010.1700986660574,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0136_iter0000_d000136.csv,0,1010.1700986660574
2357,1,1010.8085076317637,1010.8085076317637,1010.8085076317637,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2357_iter0000_d002357.csv,0,1010.8085076317637
1559,1,1010.8278718722673,1010.8278718722673,1010.8278718722673,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1559_iter0000_d001559.csv,0,1010.8278718722673
2014,1,1010.867057343521,1010.867057343521,1010.867057343521,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2014_iter0000_d002014.csv,0,1010.867057343521
1308,1,1010.8734610508973,1010.8734610508973,1010.8734610508973,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1308_iter0000_d001308.csv,0,1010.8734610508973
1755,1,1010.9203208136635,1010.9203208136635,1010.9203208136635,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1755_iter0000_d001755.csv,0,1010.9203208136635
1734,1,1010.9326930824985,1010.9326930824985,1010.9326930824985,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1734_iter0000_d001734.csv,0,1010.9326930824985
472,1,1010.9513342222701,1010.9513342222701,1010.9513342222701,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0472_iter0000_d000472.csv,0,1010.9513342222701
2332,1,1010.9582373431128,1010.9582373431128,1010.9582373431128,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2332_iter0000_d002332.csv,0,1010.9582373431128
29,1,1010.9799649872953,1010.9799649872953,1010.9799649872953,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0029_iter0000_d000029.csv,0,1010.9799649872953
1353,1,1010.9859961638446,1010.9859961638446,1010.9859961638446,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1353_iter0000_d001353.csv,0,1010.9859961638446
399,1,1010.9934097101764,1010.9934097101764,1010.9934097101764,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0399_iter0000_d000399.csv,0,1010.9934097101764
41,1,1010.9945013912427,1010.9945013912427,1010.9945013912427,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0041_iter0000_d000041.csv,0,1010.9945013912427
358,1,1010.9971576123229,1010.9971576123229,1010.9971576123229,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0358_iter0000_d000358.csv,0,1010.9971576123229
732,1,1011.0011968751581,1011.0011968751581,1011.0011968751581,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0732_iter0000_d000732.csv,0,1011.0011968751581
330,1,1011.0404286123901,1011.0404286123901,1011.0404286123901,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0330_iter0000_d000330.csv,0,1011.0404286123901
2007,1,1011.5430842146861,1011.5430842146861,1011.5430842146861,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2007_iter0000_d002007.csv,0,1011.5430842146861
2334,1,1011.5771265666168,1011.5771265666168,1011.5771265666168,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2334_iter0000_d002334.csv,0,1011.5771265666168
2076,1,1011.5823331212774,1011.5823331212774,1011.5823331212774,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2076_iter0000_d002076.csv,0,1011.5823331212774
2013,1,1011.6232626096432,1011.6232626096432,1011.6232626096432,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2013_iter0000_d002013.csv,0,1011.6232626096432
2362,1,1011.645935853119,1011.645935853119,1011.645935853119,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2362_iter0000_d002362.csv,0,1011.645935853119
1703,1,1011.6472385615633,1011.6472385615633,1011.6472385615633,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1703_iter0000_d001703.csv,0,1011.6472385615633
1005,1,1011.6816098500893,1011.6816098500893,1011.6816098500893,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1005_iter0000_d001005.csv,0,1011.6816098500893
1110,1,1011.6845164784157,1011.6845164784157,1011.6845164784157,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1110_iter0000_d001110.csv,0,1011.6845164784157
916,1,1011.686254047501,1011.686254047501,1011.686254047501,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0916_iter0000_d000916.csv,0,1011.686254047501
503,1,1011.6942028226377,1011.6942028226377,1011.6942028226377,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0503_iter0000_d000503.csv,0,1011.6942028226377
1525,1,1011.6946088226873,1011.6946088226873,1011.6946088226873,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1525_iter0000_d001525.csv,0,1011.6946088226873
1732,1,1011.7093467470695,1011.7093467470695,1011.7093467470695,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1732_iter0000_d001732.csv,0,1011.7093467470695
1982,1,1011.7130831218703,1011.7130831218703,1011.7130831218703,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1982_iter0000_d001982.csv,0,1011.7130831218703
815,1,1011.7208352365016,1011.7208352365016,1011.7208352365016,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0815_iter0000_d000815.csv,0,1011.7208352365016
575,1,1011.7238915161471,1011.7238915161471,1011.7238915161471,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0575_iter0000_d000575.csv,0,1011.7238915161471
2230,1,1011.7240099808943,1011.7240099808943,1011.7240099808943,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2230_iter0000_d002230.csv,0,1011.7240099808943
1870,1,1011.7335374335106,1011.7335374335106,1011.7335374335106,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1870_iter0000_d001870.csv,0,1011.7335374335106
2380,1,1011.7339457982397,1011.7339457982397,1011.7339457982397,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2380_iter0000_d002380.csv,0,1011.7339457982397
456,1,1011.7359848138002,1011.7359848138002,1011.7359848138002,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0456_iter0000_d000456.csv,0,1011.7359848138002
2168,1,1011.7397285149143,1011.7397285149143,1011.7397285149143,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2168_iter0000_d002168.csv,0,1011.7397285149143
1853,1,1011.7466775319288,1011.7466775319288,1011.7466775319288,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1853_iter0000_d001853.csv,0,1011.7466775319288
601,1,1011.7525616175485,1011.7525616175485,1011.7525616175485,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0601_iter0000_d000601.csv,0,1011.7525616175485
1822,1,1011.76536022398,1011.76536022398,1011.76536022398,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1822_iter0000_d001822.csv,0,1011.76536022398
2387,1,1011.7726650136948,1011.7726650136948,1011.7726650136948,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2387_iter0000_d002387.csv,0,1011.7726650136948
1643,1,1011.7813507001275,1011.7813507001275,1011.7813507001275,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1643_iter0000_d001643.csv,0,1011.7813507001275
1330,1,1011.7985144262258,1011.7985144262258,1011.7985144262258,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1330_iter0000_d001330.csv,0,1011.7985144262258
1523,1,1011.7989261752961,1011.7989261752961,1011.7989261752961,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1523_iter0000_d001523.csv,0,1011.7989261752961
482,1,1011.7998606919625,1011.7998606919625,1011.7998606919625,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0482_iter0000_d000482.csv,0,1011.7998606919625
116,1,1011.8205333863305,1011.8205333863305,1011.8205333863305,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0116_iter0000_d000116.csv,0,1011.8205333863305
169,1,1011.823219814205,1011.823219814205,1011.823219814205,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0169_iter0000_d000169.csv,0,1011.823219814205
310,1,1011.8245961158102,1011.8245961158102,1011.8245961158102,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0310_iter0000_d000310.csv,0,1011.8245961158102
682,1,1011.8249500629676,1011.8249500629676,1011.8249500629676,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0682_iter0000_d000682.csv,0,1011.8249500629676
