trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,2,Incongruent,2_0.878_0.449.png,1.207932499773526,0.872,0.443,7.466712828281528,0.0,1.0,1.2770266575634117,hidden,2.277026657563412,2.0,2.189686170718116,fixation,1.0
1,1,11,Medium,11_0.184_0.776.png,2.7932432854200373,0.177,0.783,8.240053631622626,8.674645328055053,1.0,1.9634748292393476,hidden,11.6381201572944,2.0,2.276578802383278,fixation,1.0
2,1,1,Congruent,1_0.612_0.327.png,2.1639857755751764,0.617,0.335,8.121670518590797,19.707942245097716,1.0,2.209548273892512,hidden,22.917490518990228,2.0,1.9121222446982842,fixation,1.0
3,1,11,Medium,11_0.755_0.347.png,2.2560631336470953,0.761,0.356,5.822073210507977,29.99359853926369,1.0,0.9829090712973625,hidden,31.976507610561054,2.0,0.8391641392106062,fixation,1.0
4,1,18,Incongruent,18_0.224_0.388.png,1.3316020710316623,0.215,0.378,5.94685280300137,38.07173488341876,1.0,0.7299720963256331,hidden,39.801706979744395,2.0,1.2168807066757403,fixation,1.0
5,1,20,Medium,20_0.531_0.633.png,2.7759923196074654,0.531,0.628,6.932688188662475,45.350189757451794,1.0,0.8489295876670377,hidden,47.19911934511883,2.0,2.0837586009954405,fixation,1.0
6,1,8,Incongruent,8_0.653_0.837.png,1.5032637881063662,0.653,0.835,6.526017212993352,55.05887026572174,1.0,1.197505903084258,hidden,57.25637616880599,2.0,1.3285113099090995,fixation,1.0
7,1,20,Medium,20_0.673_0.367.png,1.8927320906249325,0.666,0.361,8.480436758524192,63.088151266821455,1.0,2.0650315662377894,hidden,66.15318283305925,2.0,2.4154051922864026,fixation,1.0
8,1,18,Incongruent,18_0.184_0.041.png,2.1373945091034674,0.176,0.038,6.859539982264792,73.46132011597058,1.0,1.9448315480054477,hidden,76.40615166397603,2.0,0.9147084342593403,fixation,1.0
9,1,11,Medium,11_0.796_0.633.png,1.6990721457355762,0.787,0.642,8.190667392205384,82.45825460733884,1.0,2.07964298411925,hidden,85.53789759145809,2.0,2.1110244080861427,fixation,1.0
10,1,22,Medium,13b_0.694_0.633.png,2.837919432723125,0.686,0.639,5.750084162995378,92.3479941452798,1.0,0.7109676837228438,hidden,94.05896182900264,2.0,1.0391164792725296,fixation,1.0
11,1,1,Congruent,1_0.776_0.102.png,1.593165700832344,0.768,0.111,6.901773949824744,100.9359977409983,1.0,0.9269954492770918,hidden,102.86299319027539,2.0,1.9747785005476572,fixation,1.0
12,1,2,Incongruent,2_0.510_0.000.png,2.847501763276017,0.516,0.0,5.695400110371438,109.43093739165539,1.0,0.9925485240728036,hidden,111.4234859157282,2.0,0.7028515862986331,fixation,1.0
