trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,18,Incongruent,18_0.347_0.469.png,3.74626759148178,0.337,0.478,4.976259774353378,0.0,1.0,0.6921721242425475,hidden,1.6921721242425476,2.0,0.2840876501108298,fixation,1.0
1,1,3,Congruent,3_0.633_0.265.png,1.0987493197808786,0.623,0.273,5.614728389447166,8.722527365835157,1.0,1.1755813053351354,hidden,10.898108671170293,2.0,0.4391470841120295,fixation,1.0
2,1,8,Medium,8_0.776_0.408.png,0.8979575573445042,0.782,0.408,5.569762400691806,15.436005075063202,1.0,1.2787580969183974,hidden,17.7147631719816,2.0,0.2910043037734099,fixation,1.0
3,1,3,Congruent,3_0.265_0.224.png,1.008825576678755,0.259,0.229,8.135612079493672,21.903725033099512,1.0,2.3087673827560637,hidden,25.212492415855575,2.0,1.8268446967376106,fixation,1.0
4,1,22,Incongruent,13b_0.857_0.571.png,0.5547554819736245,0.854,0.575,6.315955239236075,31.04816268927194,1.0,0.42219485763235554,hidden,32.470357546904296,2.0,1.8937603816037192,fixation,1.0
5,1,11,Congruent,11_0.204_0.571.png,0.660605500696177,0.211,0.573,4.9962782168990145,37.91887341048164,1.0,0.7359226960130401,hidden,39.65479610649468,2.0,0.26035552088597536,fixation,1.0
6,1,18,Incongruent,18_0.408_0.000.png,0.6774710911226258,0.416,0.0,7.992955865914389,43.57575712807683,1.0,3.586836045618211,hidden,48.16259317369504,2.0,0.406119820296173,fixation,1.0
7,1,20,Medium,20_0.449_0.000.png,3.5190957698078487,0.458,0.0,4.286584564061833,52.246184085113846,1.0,0.12413945377199842,hidden,53.37032353888584,2.0,0.16244511028983583,fixation,1.0
8,1,11,Congruent,11_0.265_0.816.png,4.330929503213804,0.271,0.811,6.488794052431558,60.05186441898353,1.0,0.9439227201465205,hidden,61.995787139130044,2.0,1.544871332285037,fixation,1.0
9,1,9,Congruent,9_0.408_0.102.png,3.0232261281003074,0.408,0.096,8.201380254287145,70.8715879746289,1.0,0.3456585295853336,hidden,72.21724650421423,2.0,3.8557217247018056,fixation,1.0
10,1,11,Congruent,11_0.286_0.673.png,3.371946080320979,0.276,0.675,5.349231353458208,82.09619435701634,1.0,0.9616747385556567,hidden,84.057869095572,2.0,0.3875566149025438,fixation,1.0
11,1,22,Incongruent,13b_0.939_1.000.png,0.2971474528332021,0.938,1.0,11.826636600595094,90.81737179079553,1.0,2.8266366005951005,hidden,94.64400839139063,2.0,5.0,fixation,1.0
12,1,3,Congruent,3_0.449_0.367.png,0.7892062950011468,0.445,0.366,7.176841658068298,102.94115584422383,1.0,1.6608096031502297,hidden,105.60196544737406,2.0,1.5160320549180781,fixation,1.0
13,1,2,Incongruent,2_0.633_0.469.png,0.562142746113986,0.639,0.47,9.551552422696815,110.90720379729328,1.0,5.0,hidden,116.90720379729328,2.0,0.5515524226968136,fixation,1.0
14,1,1,Medium,1_0.592_0.245.png,1.423593586001926,0.597,0.25,7.330589773078145,121.02089896610408,1.0,1.4048420764763392,hidden,123.42574104258043,2.0,1.9257476966018163,fixation,1.0
15,1,18,Incongruent,18_0.000_0.592.png,0.15709272493194623,0.0,0.588,8.655037860111406,129.77508232518414,1.0,3.1972703432685994,hidden,133.97235266845274,2.0,1.4577675168428144,fixation,1.0
16,1,8,Medium,8_1.000_0.592.png,0.5811398967115533,1.0,0.596,8.738831571645676,138.5872129102275,1.0,2.82756464500498,hidden,142.41477755523246,2.0,1.9112669266406925,fixation,1.0
17,1,18,Incongruent,18_0.388_0.204.png,1.415910550983122,0.384,0.212,4.891594018706883,147.90718437858473,1.0,0.2343102717417441,hidden,149.14149465032648,2.0,0.6572837469651409,fixation,1.0
18,1,1,Medium,1_1.000_0.061.png,0.5042154225856256,1.0,0.064,5.580572682649546,154.21468894827473,1.0,1.146369675670866,hidden,156.36105862394558,2.0,0.4342030069786913,fixation,1.0
19,1,8,Medium,8_0.633_0.939.png,2.37423810783856,0.637,0.946,5.722112476788766,160.2994770535099,1.0,0.549396284017067,hidden,161.84887333752695,2.0,1.172716192771699,fixation,1.0
20,1,22,Incongruent,13b_1.000_0.673.png,0.3245270930684552,1.0,0.682,9.458316742503285,168.3958276381372,1.0,0.6065128377044907,hidden,170.0023404758417,2.0,4.8518039047988015,fixation,1.0
21,1,8,Medium,8_0.694_0.816.png,2.0436903448414716,0.684,0.817,8.442970606869693,178.17867147370896,1.0,3.1982787205731964,hidden,182.37695019428216,2.0,1.244691886296505,fixation,1.0
22,1,2,Incongruent,2_0.714_0.245.png,0.6537438532596431,0.708,0.251,7.5958848630646685,188.66533242542013,1.0,1.2387705630792292,hidden,190.90410298849937,2.0,2.357114299985426,fixation,1.0
23,1,11,Congruent,11_0.204_0.959.png,1.3168709854582263,0.211,0.961,4.685584827584847,196.91496114174444,1.0,0.19316538155981738,hidden,198.10812652330426,2.0,0.4924194460250222,fixation,1.0
24,1,20,Medium,20_0.857_0.245.png,2.7378402076772175,0.86,0.245,9.10316081954278,202.9174169547875,1.0,2.176191911426137,hidden,206.09360886621366,2.0,2.9269689081166304,fixation,1.0
25,1,1,Medium,1_0.816_0.449.png,0.36424687382333343,0.823,0.458,6.940841744595616,214.7584179820075,1.0,0.5400869125733992,hidden,216.2985048945809,2.0,2.400754832022229,fixation,1.0
26,1,2,Incongruent,2_1.000_0.429.png,1.0964421265910362,1.0,0.43,7.89456429009374,222.06350660042645,1.0,3.3325092085462433,hidden,226.3960158089727,2.0,0.5620550815475065,fixation,1.0
27,1,9,Congruent,9_0.000_0.286.png,0.7583446171320606,0.0,0.287,10.52211178536433,231.05451301711122,1.0,1.5221117853643293,hidden,233.57662480247555,2.0,5.0,fixation,1.0
28,1,20,Medium,20_0.837_0.633.png,4.353891812784469,0.83,0.634,6.697714359829405,242.3349694196076,1.0,2.5917794551363937,hidden,245.926748874744,2.0,0.1059349046930138,fixation,1.0
29,1,9,Congruent,9_0.449_0.143.png,1.744604201594818,0.446,0.134,12.03944845512055,253.38657559222148,1.0,4.992734782497341,hidden,259.37931037471884,2.0,3.046713672623175,fixation,1.0
30,2,11,Congruent,11_0.429_0.755.png,0.34450392671611796,0.419,0.748,10.379741734732077,0.0,1.0,4.074775668766144,hidden,5.074775668766144,2.0,2.304966065965934,fixation,1.0
31,2,9,Congruent,9_0.122_0.286.png,0.9433323075634724,0.116,0.293,7.146835110823622,10.724245661448196,1.0,2.6222304395089187,hidden,14.346476100957114,2.0,0.5246046713147048,fixation,1.0
32,2,18,Incongruent,18_0.612_0.531.png,0.2885706897712907,0.617,0.532,4.859572611017899,18.81441307983529,1.0,0.1963243364390971,hidden,20.010737416274388,2.0,0.6632482745788031,fixation,1.0
33,2,1,Medium,1_0.571_0.429.png,0.30474101246951824,0.562,0.425,5.275640573215398,23.96255638062448,1.0,0.7759421102028655,hidden,25.738498490827347,2.0,0.4996984630125324,fixation,1.0
34,2,3,Congruent,3_0.286_0.000.png,0.4648432553586356,0.278,0.0,6.741171116451589,29.542937966309395,1.0,1.9863142849632567,hidden,32.52925225127265,2.0,0.7548568314883355,fixation,1.0
35,2,11,Congruent,11_0.061_0.796.png,2.9275891493641635,0.062,0.789,5.032619637885254,36.74895233811962,1.0,0.8290842506675979,hidden,38.57803658878722,2.0,0.2035353872176528,fixation,1.0
36,2,22,Incongruent,13b_0.816_0.776.png,4.163314533513283,0.826,0.774,8.024136690422296,44.70916112536904,1.0,0.8257469597108243,hidden,46.53490808507987,2.0,3.198389730711467,fixation,1.0
37,2,9,Congruent,9_0.367_0.510.png,0.7424199375183713,0.365,0.518,8.39850098030567,56.89661234930462,1.0,4.15322525187169,hidden,62.04983760117631,2.0,0.24527572843398351,fixation,1.0
38,2,2,Incongruent,2_0.673_0.286.png,0.6112313665136585,0.667,0.296,6.6008292699696085,66.03753326712867,1.0,1.952070290564889,hidden,68.98960355769356,2.0,0.6487589794047214,fixation,1.0
39,2,8,Medium,8_0.857_0.694.png,5.0,0.865,0.688,4.426991898532677,73.24959390361194,1.0,0.18247179309878114,hidden,74.43206569671072,2.0,0.24452010543388666,fixation,1.0
40,2,9,Congruent,9_0.429_0.694.png,5.0,0.435,0.684,7.448235081803531,82.67658580214461,1.0,0.31625326913718255,hidden,83.9928390712818,2.0,3.131981812666359,fixation,1.0
41,2,1,Medium,1_0.837_0.163.png,0.32115147597650595,0.827,0.163,6.072229184813679,95.12482088394815,1.0,1.4709967692535857,hidden,97.59581765320173,2.0,0.6012324155600864,fixation,1.0
42,2,11,Congruent,11_0.571_0.367.png,1.307127937806207,0.573,0.371,6.783518591138886,101.51820154473833,1.0,2.4948313299158396,hidden,105.01303287465417,2.0,0.28868726122303956,fixation,1.0
