trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,18,Congruent,18_0.184_0.245.png,0.8808912231363928,0.178,0.24,6.0,0.0,1.0,1.0,hidden,2.0,2.0,1.0,fixation,1.0
1,1,8,Medium,8_0.592_0.898.png,0.7236961749943248,0.585,0.901,6.0,6.880891223136393,1.0,1.0,hidden,8.880891223136393,2.0,1.0,fixation,1.0
2,1,20,Medium,20_0.735_0.163.png,0.6416707089909143,0.74,0.159,6.0,13.604587398130718,1.0,1.0,hidden,15.604587398130718,2.0,1.0,fixation,1.0
3,1,1,Incongruent,1_0.857_0.429.png,0.6343909550752204,0.86,0.431,6.0,20.246258107121633,1.0,1.0,hidden,22.246258107121633,2.0,1.0,fixation,1.0
4,1,11,Incongruent,11_0.122_0.571.png,0.5150848620210559,0.124,0.566,6.0,26.880649062196852,1.0,1.0,hidden,28.880649062196852,2.0,1.0,fixation,1.0
5,1,20,Medium,20_0.837_0.224.png,0.5189989464261907,0.834,0.218,6.0,33.39573392421791,1.0,1.0,hidden,35.39573392421791,2.0,1.0,fixation,1.0
6,1,9,Congruent,9_0.143_0.184.png,1.0146905689513797,0.152,0.192,6.0,39.9147328706441,1.0,1.0,hidden,41.9147328706441,2.0,1.0,fixation,1.0
7,1,11,Incongruent,11_0.204_0.816.png,1.3202944253228046,0.212,0.818,6.0,46.92942343959548,1.0,1.0,hidden,48.92942343959548,2.0,1.0,fixation,1.0
8,1,9,Congruent,9_0.327_0.245.png,0.7554727936821676,0.325,0.251,6.0,54.24971786491829,1.0,1.0,hidden,56.24971786491829,2.0,1.0,fixation,1.0
9,1,8,Medium,8_0.755_0.714.png,1.0174720517605624,0.75,0.713,6.0,61.005190658600455,1.0,1.0,hidden,63.005190658600455,2.0,1.0,fixation,1.0
10,1,22,Incongruent,13b_0.694_0.694.png,0.7049043391932797,0.689,0.691,6.0,68.02266271036102,1.0,1.0,hidden,70.02266271036102,2.0,1.0,fixation,1.0
