trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,22,Incongruent,13b_0.898_0.816.png,1.0,0.908,0.818,6.0,0.0,1.0,1.0,hidden,2.0,2.0,1.0,fixation,1.0
1,1,3,Medium,3_0.143_0.082.png,1.0,0.139,0.083,6.0,7.0,1.0,1.0,hidden,9.0,2.0,1.0,fixation,1.0
2,1,18,Congruent,18_0.102_0.265.png,1.0,0.107,0.258,6.0,14.0,1.0,1.0,hidden,16.0,2.0,1.0,fixation,1.0
3,1,2,Congruent,2_0.857_0.184.png,1.0,0.861,0.192,6.0,21.0,1.0,1.0,hidden,23.0,2.0,1.0,fixation,1.0
4,1,1,Incongruent,1_0.776_0.082.png,1.0,0.775,0.085,6.0,28.0,1.0,1.0,hidden,30.0,2.0,1.0,fixation,1.0
5,1,9,Congruent,9_0.327_0.224.png,1.0,0.319,0.217,6.0,35.0,1.0,1.0,hidden,37.0,2.0,1.0,fixation,1.0
6,1,8,Medium,8_0.816_0.755.png,1.0,0.816,0.754,6.0,42.0,1.0,1.0,hidden,44.0,2.0,1.0,fixation,1.0
7,1,11,Incongruent,11_0.143_0.735.png,1.0,0.147,0.739,6.0,49.0,1.0,1.0,hidden,51.0,2.0,1.0,fixation,1.0
8,1,20,Medium,20_0.755_0.102.png,1.0,0.764,0.11,6.0,56.0,1.0,1.0,hidden,58.0,2.0,1.0,fixation,1.0
9,1,9,Congruent,9_0.204_0.184.png,1.0,0.212,0.181,6.0,63.0,1.0,1.0,hidden,65.0,2.0,1.0,fixation,1.0
10,1,1,Incongruent,1_0.755_0.204.png,1.0,0.76,0.195,6.0,70.0,1.0,1.0,hidden,72.0,2.0,1.0,fixation,1.0
11,1,11,Incongruent,11_0.000_0.878.png,1.0,0.001,0.884,6.0,77.0,1.0,1.0,hidden,79.0,2.0,1.0,fixation,1.0
12,1,8,Medium,8_0.816_0.837.png,1.0,0.823,0.837,6.0,84.0,1.0,1.0,hidden,86.0,2.0,1.0,fixation,1.0
13,1,9,Congruent,9_0.286_0.245.png,1.0,0.291,0.237,6.0,91.0,1.0,1.0,hidden,93.0,2.0,1.0,fixation,1.0
14,1,2,Congruent,2_0.857_0.061.png,1.0,0.852,0.053,6.0,98.0,1.0,1.0,hidden,100.0,2.0,1.0,fixation,1.0
15,1,8,Medium,8_0.735_0.837.png,1.0,0.731,0.841,6.0,105.0,1.0,1.0,hidden,107.0,2.0,1.0,fixation,1.0
16,1,20,Medium,20_0.816_0.122.png,1.0,0.81,0.132,6.0,112.0,1.0,1.0,hidden,114.0,2.0,1.0,fixation,1.0
17,1,22,Incongruent,13b_0.837_0.816.png,1.0,0.843,0.824,6.0,119.0,1.0,1.0,hidden,121.0,2.0,1.0,fixation,1.0
18,1,18,Congruent,18_0.143_0.429.png,1.0,0.14,0.426,6.0,126.0,1.0,1.0,hidden,128.0,2.0,1.0,fixation,1.0
19,1,20,Medium,20_0.776_0.388.png,1.0,0.773,0.395,6.0,133.0,1.0,1.0,hidden,135.0,2.0,1.0,fixation,1.0
20,1,18,Congruent,18_0.367_0.041.png,1.0,0.372,0.038,6.0,140.0,1.0,1.0,hidden,142.0,2.0,1.0,fixation,1.0
21,1,3,Medium,3_0.204_0.122.png,1.0,0.197,0.118,6.0,147.0,1.0,1.0,hidden,149.0,2.0,1.0,fixation,1.0
22,1,8,Medium,8_0.816_0.796.png,1.0,0.808,0.802,6.0,154.0,1.0,1.0,hidden,156.0,2.0,1.0,fixation,1.0
23,1,3,Medium,3_0.163_0.204.png,1.0,0.164,0.211,6.0,161.0,1.0,1.0,hidden,163.0,2.0,1.0,fixation,1.0
24,1,1,Incongruent,1_0.959_0.327.png,1.0,0.96,0.336,6.0,168.0,1.0,1.0,hidden,170.0,2.0,1.0,fixation,1.0
25,1,2,Congruent,2_0.898_0.204.png,1.0,0.903,0.197,6.0,175.0,1.0,1.0,hidden,177.0,2.0,1.0,fixation,1.0
26,1,20,Medium,20_0.714_0.265.png,1.0,0.706,0.273,6.0,182.0,1.0,1.0,hidden,184.0,2.0,1.0,fixation,1.0
27,1,11,Incongruent,11_0.286_0.837.png,1.0,0.295,0.846,6.0,189.0,1.0,1.0,hidden,191.0,2.0,1.0,fixation,1.0
28,1,22,Incongruent,13b_0.816_0.673.png,1.0,0.81,0.68,6.0,196.0,1.0,1.0,hidden,198.0,2.0,1.0,fixation,1.0
29,1,2,Congruent,2_0.755_0.102.png,1.0,0.745,0.096,6.0,203.0,1.0,1.0,hidden,205.0,2.0,1.0,fixation,1.0
30,2,3,Medium,3_0.102_0.122.png,1.0,0.106,0.127,6.0,0.0,1.0,1.0,hidden,2.0,2.0,1.0,fixation,1.0
31,2,1,Incongruent,1_0.796_0.286.png,1.0,0.792,0.292,6.0,7.0,1.0,1.0,hidden,9.0,2.0,1.0,fixation,1.0
32,2,11,Incongruent,11_0.184_0.837.png,1.0,0.182,0.833,6.0,14.0,1.0,1.0,hidden,16.0,2.0,1.0,fixation,1.0
33,2,9,Congruent,9_0.061_0.122.png,1.0,0.054,0.123,6.0,21.0,1.0,1.0,hidden,23.0,2.0,1.0,fixation,1.0
34,2,22,Incongruent,13b_0.837_0.653.png,1.0,0.845,0.648,6.0,28.0,1.0,1.0,hidden,30.0,2.0,1.0,fixation,1.0
35,2,18,Congruent,18_0.204_0.306.png,1.0,0.202,0.315,6.0,35.0,1.0,1.0,hidden,37.0,2.0,1.0,fixation,1.0
36,2,2,Congruent,2_0.714_0.000.png,1.0,0.71,0.0,6.0,42.0,1.0,1.0,hidden,44.0,2.0,1.0,fixation,1.0
37,2,8,Medium,8_0.755_1.000.png,1.0,0.763,0.998,6.0,49.0,1.0,1.0,hidden,51.0,2.0,1.0,fixation,1.0
38,2,18,Congruent,18_0.143_0.000.png,1.0,0.147,0.0,6.0,56.0,1.0,1.0,hidden,58.0,2.0,1.0,fixation,1.0
39,2,20,Medium,20_0.653_0.327.png,1.0,0.655,0.326,6.0,63.0,1.0,1.0,hidden,65.0,2.0,1.0,fixation,1.0
40,2,22,Incongruent,13b_0.816_0.857.png,1.0,0.815,0.864,6.0,70.0,1.0,1.0,hidden,72.0,2.0,1.0,fixation,1.0
41,2,9,Congruent,9_0.204_0.102.png,1.0,0.207,0.103,6.0,77.0,1.0,1.0,hidden,79.0,2.0,1.0,fixation,1.0
42,2,8,Medium,8_0.837_0.816.png,1.0,0.841,0.824,6.0,84.0,1.0,1.0,hidden,86.0,2.0,1.0,fixation,1.0
43,2,1,Incongruent,1_0.857_0.061.png,1.0,0.856,0.06,6.0,91.0,1.0,1.0,hidden,93.0,2.0,1.0,fixation,1.0
44,2,11,Incongruent,11_0.122_0.592.png,1.0,0.121,0.595,6.0,98.0,1.0,1.0,hidden,100.0,2.0,1.0,fixation,1.0
45,2,2,Congruent,2_0.939_0.082.png,1.0,0.939,0.08,6.0,105.0,1.0,1.0,hidden,107.0,2.0,1.0,fixation,1.0
46,2,9,Congruent,9_0.122_0.122.png,1.0,0.131,0.129,6.0,112.0,1.0,1.0,hidden,114.0,2.0,1.0,fixation,1.0
47,2,20,Medium,20_0.857_0.286.png,1.0,0.856,0.293,6.0,119.0,1.0,1.0,hidden,121.0,2.0,1.0,fixation,1.0
48,2,8,Medium,8_0.673_0.878.png,1.0,0.681,0.878,6.0,126.0,1.0,1.0,hidden,128.0,2.0,1.0,fixation,1.0
49,2,18,Congruent,18_0.265_0.184.png,1.0,0.27,0.176,6.0,133.0,1.0,1.0,hidden,135.0,2.0,1.0,fixation,1.0
50,2,20,Medium,20_0.673_0.163.png,1.0,0.663,0.156,6.0,140.0,1.0,1.0,hidden,142.0,2.0,1.0,fixation,1.0
51,2,22,Incongruent,13b_0.918_0.878.png,1.0,0.925,0.877,6.0,147.0,1.0,1.0,hidden,149.0,2.0,1.0,fixation,1.0
52,2,2,Congruent,2_0.980_0.306.png,1.0,0.985,0.303,6.0,154.0,1.0,1.0,hidden,156.0,2.0,1.0,fixation,1.0
53,2,3,Medium,3_0.122_0.184.png,1.0,0.119,0.174,6.0,161.0,1.0,1.0,hidden,163.0,2.0,1.0,fixation,1.0
54,2,2,Congruent,2_0.898_0.306.png,1.0,0.906,0.31,6.0,168.0,1.0,1.0,hidden,170.0,2.0,1.0,fixation,1.0
55,2,11,Incongruent,11_0.163_0.755.png,1.0,0.162,0.754,6.0,175.0,1.0,1.0,hidden,177.0,2.0,1.0,fixation,1.0
56,2,9,Congruent,9_0.306_0.143.png,1.0,0.3,0.143,6.0,182.0,1.0,1.0,hidden,184.0,2.0,1.0,fixation,1.0
57,2,18,Congruent,18_0.122_0.143.png,1.0,0.12,0.134,6.0,189.0,1.0,1.0,hidden,191.0,2.0,1.0,fixation,1.0
58,2,1,Incongruent,1_1.000_0.163.png,1.0,1.0,0.161,6.0,196.0,1.0,1.0,hidden,198.0,2.0,1.0,fixation,1.0
59,2,3,Medium,3_0.163_0.163.png,1.0,0.163,0.161,6.0,203.0,1.0,1.0,hidden,205.0,2.0,1.0,fixation,1.0
60,3,8,Medium,8_0.714_0.755.png,1.0,0.707,0.746,6.0,0.0,1.0,1.0,hidden,2.0,2.0,1.0,fixation,1.0
61,3,9,Congruent,9_0.265_0.224.png,1.0,0.262,0.221,6.0,7.0,1.0,1.0,hidden,9.0,2.0,1.0,fixation,1.0
62,3,18,Congruent,18_0.245_0.204.png,1.0,0.248,0.202,6.0,14.0,1.0,1.0,hidden,16.0,2.0,1.0,fixation,1.0
63,3,20,Medium,20_0.776_0.245.png,1.0,0.784,0.24,6.0,21.0,1.0,1.0,hidden,23.0,2.0,1.0,fixation,1.0
64,3,2,Congruent,2_1.000_0.122.png,1.0,1.0,0.116,6.0,28.0,1.0,1.0,hidden,30.0,2.0,1.0,fixation,1.0
65,3,20,Medium,20_0.837_0.041.png,1.0,0.827,0.041,6.0,35.0,1.0,1.0,hidden,37.0,2.0,1.0,fixation,1.0
66,3,22,Incongruent,13b_0.959_0.673.png,1.0,0.955,0.68,6.0,42.0,1.0,1.0,hidden,44.0,2.0,1.0,fixation,1.0
67,3,8,Medium,8_0.673_0.816.png,1.0,0.668,0.826,6.0,49.0,1.0,1.0,hidden,51.0,2.0,1.0,fixation,1.0
68,3,9,Congruent,9_0.061_0.306.png,1.0,0.061,0.296,6.0,56.0,1.0,1.0,hidden,58.0,2.0,1.0,fixation,1.0
69,3,2,Congruent,2_0.878_0.184.png,1.0,0.882,0.193,6.0,63.0,1.0,1.0,hidden,65.0,2.0,1.0,fixation,1.0
70,3,11,Incongruent,11_0.245_0.816.png,1.0,0.248,0.823,6.0,70.0,1.0,1.0,hidden,72.0,2.0,1.0,fixation,1.0
71,3,8,Medium,8_0.776_0.714.png,1.0,0.783,0.724,6.0,77.0,1.0,1.0,hidden,79.0,2.0,1.0,fixation,1.0
72,3,2,Congruent,2_0.837_0.122.png,1.0,0.83,0.126,6.0,84.0,1.0,1.0,hidden,86.0,2.0,1.0,fixation,1.0
73,3,8,Medium,8_0.939_0.939.png,1.0,0.934,0.93,6.0,91.0,1.0,1.0,hidden,93.0,2.0,1.0,fixation,1.0
74,3,18,Congruent,18_0.163_0.143.png,1.0,0.172,0.133,6.0,98.0,1.0,1.0,hidden,100.0,2.0,1.0,fixation,1.0
75,3,1,Incongruent,1_0.714_0.245.png,1.0,0.71,0.249,6.0,105.0,1.0,1.0,hidden,107.0,2.0,1.0,fixation,1.0
76,3,3,Medium,3_0.245_0.204.png,1.0,0.247,0.207,6.0,112.0,1.0,1.0,hidden,114.0,2.0,1.0,fixation,1.0
77,3,18,Congruent,18_0.184_0.000.png,1.0,0.187,0.0,6.0,119.0,1.0,1.0,hidden,121.0,2.0,1.0,fixation,1.0
78,3,11,Incongruent,11_0.020_0.694.png,1.0,0.023,0.689,6.0,126.0,1.0,1.0,hidden,128.0,2.0,1.0,fixation,1.0
79,3,22,Incongruent,13b_0.776_0.735.png,1.0,0.767,0.737,6.0,133.0,1.0,1.0,hidden,135.0,2.0,1.0,fixation,1.0
80,3,20,Medium,20_0.878_0.082.png,1.0,0.886,0.074,6.0,140.0,1.0,1.0,hidden,142.0,2.0,1.0,fixation,1.0
