trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,1,Incongruent,1_0.898_0.408.png,0.5,0.9,0.403,2.5,0.0,0.5,0.5,hidden,1.0,0.5,0.5,fixation,0.5
1,1,22,Incongruent,13b_0.776_0.857.png,0.5,0.783,0.858,2.5,3.0,0.5,0.5,hidden,4.0,0.5,0.5,fixation,0.5
2,1,9,Congruent,9_0.000_0.163.png,0.5,0.008,0.163,2.5,6.0,0.5,0.5,hidden,7.0,0.5,0.5,fixation,0.5
3,1,2,Congruent,2_0.755_0.306.png,0.5,0.758,0.31,2.5,9.0,0.5,0.5,hidden,10.0,0.5,0.5,fixation,0.5
4,1,22,Incongruent,13b_0.673_0.939.png,0.5,0.68,0.935,2.5,12.0,0.5,0.5,hidden,13.0,0.5,0.5,fixation,0.5
5,1,8,Medium,8_0.694_0.776.png,0.5,0.689,0.768,2.5,15.0,0.5,0.5,hidden,16.0,0.5,0.5,fixation,0.5
6,1,20,Medium,20_0.776_0.245.png,0.5,0.778,0.242,2.5,18.0,0.5,0.5,hidden,19.0,0.5,0.5,fixation,0.5
7,1,18,Congruent,18_0.286_0.163.png,0.5,0.277,0.169,2.5,21.0,0.5,0.5,hidden,22.0,0.5,0.5,fixation,0.5
8,1,11,Incongruent,11_0.163_0.878.png,0.5,0.161,0.881,2.5,24.0,0.5,0.5,hidden,25.0,0.5,0.5,fixation,0.5
9,1,3,Medium,3_0.286_0.286.png,0.5,0.284,0.288,2.5,27.0,0.5,0.5,hidden,28.0,0.5,0.5,fixation,0.5
10,1,8,Medium,8_0.796_0.816.png,0.5,0.802,0.825,2.5,30.0,0.5,0.5,hidden,31.0,0.5,0.5,fixation,0.5
11,1,20,Medium,20_0.816_0.286.png,0.5,0.817,0.293,2.5,33.0,0.5,0.5,hidden,34.0,0.5,0.5,fixation,0.5
12,1,22,Incongruent,13b_0.918_0.796.png,0.5,0.924,0.806,2.5,36.0,0.5,0.5,hidden,37.0,0.5,0.5,fixation,0.5
13,1,3,Medium,3_0.163_0.163.png,0.5,0.156,0.165,2.5,39.0,0.5,0.5,hidden,40.0,0.5,0.5,fixation,0.5
14,1,2,Congruent,2_0.878_0.327.png,0.5,0.884,0.317,2.5,42.0,0.5,0.5,hidden,43.0,0.5,0.5,fixation,0.5
15,1,22,Incongruent,13b_0.898_0.735.png,0.5,0.902,0.733,2.5,45.0,0.5,0.5,hidden,46.0,0.5,0.5,fixation,0.5
16,1,9,Congruent,9_0.347_0.286.png,0.5,0.349,0.291,2.5,48.0,0.5,0.5,hidden,49.0,0.5,0.5,fixation,0.5
17,1,8,Medium,8_0.980_0.735.png,0.5,0.973,0.733,2.5,51.0,0.5,0.5,hidden,52.0,0.5,0.5,fixation,0.5
18,1,2,Congruent,2_0.898_0.204.png,0.5,0.903,0.211,2.5,54.0,0.5,0.5,hidden,55.0,0.5,0.5,fixation,0.5
19,1,3,Medium,3_0.143_0.163.png,0.5,0.134,0.166,2.5,57.0,0.5,0.5,hidden,58.0,0.5,0.5,fixation,0.5
20,1,18,Congruent,18_0.143_0.286.png,0.5,0.143,0.282,2.5,60.0,0.5,0.5,hidden,61.0,0.5,0.5,fixation,0.5
21,1,11,Incongruent,11_0.184_0.857.png,0.5,0.178,0.86,2.5,63.0,0.5,0.5,hidden,64.0,0.5,0.5,fixation,0.5
22,1,1,Incongruent,1_0.796_0.082.png,0.5,0.797,0.077,2.5,66.0,0.5,0.5,hidden,67.0,0.5,0.5,fixation,0.5
23,1,9,Congruent,9_0.245_0.102.png,0.5,0.236,0.111,2.5,69.0,0.5,0.5,hidden,70.0,0.5,0.5,fixation,0.5
24,1,11,Incongruent,11_0.204_0.918.png,0.5,0.199,0.916,2.5,72.0,0.5,0.5,hidden,73.0,0.5,0.5,fixation,0.5
25,1,20,Medium,20_0.796_0.367.png,0.5,0.806,0.374,2.5,75.0,0.5,0.5,hidden,76.0,0.5,0.5,fixation,0.5
26,1,3,Medium,3_0.224_0.306.png,0.5,0.22,0.304,2.5,78.0,0.5,0.5,hidden,79.0,0.5,0.5,fixation,0.5
27,1,1,Incongruent,1_0.898_0.204.png,0.5,0.893,0.2,2.5,81.0,0.5,0.5,hidden,82.0,0.5,0.5,fixation,0.5
28,1,18,Congruent,18_0.143_0.204.png,0.5,0.138,0.2,2.5,84.0,0.5,0.5,hidden,85.0,0.5,0.5,fixation,0.5
29,1,1,Incongruent,1_0.776_0.122.png,0.5,0.767,0.132,2.5,87.0,0.5,0.5,hidden,88.0,0.5,0.5,fixation,0.5
30,2,20,Medium,20_0.939_0.347.png,0.5,0.93,0.345,2.5,0.0,0.5,0.5,hidden,1.0,0.5,0.5,fixation,0.5
31,2,22,Incongruent,13b_0.694_0.816.png,0.5,0.693,0.81,2.5,3.0,0.5,0.5,hidden,4.0,0.5,0.5,fixation,0.5
32,2,2,Congruent,2_0.857_0.265.png,0.5,0.856,0.268,2.5,6.0,0.5,0.5,hidden,7.0,0.5,0.5,fixation,0.5
33,2,9,Congruent,9_0.490_0.204.png,0.5,0.481,0.198,2.5,9.0,0.5,0.5,hidden,10.0,0.5,0.5,fixation,0.5
34,2,1,Incongruent,1_0.878_0.102.png,0.5,0.877,0.101,2.5,12.0,0.5,0.5,hidden,13.0,0.5,0.5,fixation,0.5
35,2,9,Congruent,9_0.184_0.102.png,0.5,0.176,0.101,2.5,15.0,0.5,0.5,hidden,16.0,0.5,0.5,fixation,0.5
36,2,8,Medium,8_0.694_0.816.png,0.5,0.701,0.817,2.5,18.0,0.5,0.5,hidden,19.0,0.5,0.5,fixation,0.5
37,2,18,Congruent,18_0.306_0.286.png,0.5,0.309,0.29,2.5,21.0,0.5,0.5,hidden,22.0,0.5,0.5,fixation,0.5
38,2,3,Medium,3_0.061_0.286.png,0.5,0.066,0.29,2.5,24.0,0.5,0.5,hidden,25.0,0.5,0.5,fixation,0.5
39,2,9,Congruent,9_0.204_0.122.png,0.5,0.208,0.128,2.5,27.0,0.5,0.5,hidden,28.0,0.5,0.5,fixation,0.5
40,2,18,Congruent,18_0.224_0.020.png,0.5,0.234,0.027,2.5,30.0,0.5,0.5,hidden,31.0,0.5,0.5,fixation,0.5
41,2,8,Medium,8_0.673_0.857.png,0.5,0.665,0.854,2.5,33.0,0.5,0.5,hidden,34.0,0.5,0.5,fixation,0.5
42,2,11,Incongruent,11_0.204_1.000.png,0.5,0.203,1.0,2.5,36.0,0.5,0.5,hidden,37.0,0.5,0.5,fixation,0.5
43,2,8,Medium,8_0.694_0.776.png,0.5,0.686,0.77,2.5,39.0,0.5,0.5,hidden,40.0,0.5,0.5,fixation,0.5
44,2,2,Congruent,2_0.796_0.327.png,0.5,0.806,0.327,2.5,42.0,0.5,0.5,hidden,43.0,0.5,0.5,fixation,0.5
45,2,20,Medium,20_0.673_0.347.png,0.5,0.682,0.347,2.5,45.0,0.5,0.5,hidden,46.0,0.5,0.5,fixation,0.5
46,2,11,Incongruent,11_0.306_0.878.png,0.5,0.304,0.868,2.5,48.0,0.5,0.5,hidden,49.0,0.5,0.5,fixation,0.5
47,2,20,Medium,20_0.735_0.061.png,0.5,0.74,0.06,2.5,51.0,0.5,0.5,hidden,52.0,0.5,0.5,fixation,0.5
48,2,3,Medium,3_0.184_0.122.png,0.5,0.181,0.122,2.5,54.0,0.5,0.5,hidden,55.0,0.5,0.5,fixation,0.5
49,2,22,Incongruent,13b_0.653_0.755.png,0.5,0.652,0.754,2.5,57.0,0.5,0.5,hidden,58.0,0.5,0.5,fixation,0.5
50,2,8,Medium,8_0.837_0.735.png,0.5,0.841,0.726,2.5,60.0,0.5,0.5,hidden,61.0,0.5,0.5,fixation,0.5
51,2,11,Incongruent,11_0.245_0.551.png,0.5,0.248,0.554,2.5,63.0,0.5,0.5,hidden,64.0,0.5,0.5,fixation,0.5
52,2,3,Medium,3_0.265_0.347.png,0.5,0.259,0.346,2.5,66.0,0.5,0.5,hidden,67.0,0.5,0.5,fixation,0.5
53,2,1,Incongruent,1_0.878_0.122.png,0.5,0.87,0.127,2.5,69.0,0.5,0.5,hidden,70.0,0.5,0.5,fixation,0.5
54,2,18,Congruent,18_0.143_0.224.png,0.5,0.153,0.228,2.5,72.0,0.5,0.5,hidden,73.0,0.5,0.5,fixation,0.5
55,2,9,Congruent,9_0.204_0.143.png,0.5,0.2,0.148,2.5,75.0,0.5,0.5,hidden,76.0,0.5,0.5,fixation,0.5
56,2,20,Medium,20_0.673_0.286.png,0.5,0.68,0.292,2.5,78.0,0.5,0.5,hidden,79.0,0.5,0.5,fixation,0.5
57,2,22,Incongruent,13b_0.898_0.939.png,0.5,0.902,0.933,2.5,81.0,0.5,0.5,hidden,82.0,0.5,0.5,fixation,0.5
58,2,2,Congruent,2_0.796_0.286.png,0.5,0.803,0.291,2.5,84.0,0.5,0.5,hidden,85.0,0.5,0.5,fixation,0.5
59,2,1,Incongruent,1_0.776_0.327.png,0.5,0.782,0.333,2.5,87.0,0.5,0.5,hidden,88.0,0.5,0.5,fixation,0.5
60,3,9,Congruent,9_0.306_0.143.png,0.5,0.298,0.14,2.5,0.0,0.5,0.5,hidden,1.0,0.5,0.5,fixation,0.5
61,3,8,Medium,8_0.816_0.980.png,0.5,0.822,0.981,2.5,3.0,0.5,0.5,hidden,4.0,0.5,0.5,fixation,0.5
62,3,11,Incongruent,11_0.224_0.776.png,0.5,0.217,0.779,2.5,6.0,0.5,0.5,hidden,7.0,0.5,0.5,fixation,0.5
63,3,3,Medium,3_0.245_0.204.png,0.5,0.252,0.214,2.5,9.0,0.5,0.5,hidden,10.0,0.5,0.5,fixation,0.5
64,3,22,Incongruent,13b_0.694_0.735.png,0.5,0.702,0.732,2.5,12.0,0.5,0.5,hidden,13.0,0.5,0.5,fixation,0.5
65,3,3,Medium,3_0.224_0.163.png,0.5,0.219,0.157,2.5,15.0,0.5,0.5,hidden,16.0,0.5,0.5,fixation,0.5
66,3,1,Incongruent,1_0.918_0.184.png,0.5,0.917,0.19,2.5,18.0,0.5,0.5,hidden,19.0,0.5,0.5,fixation,0.5
67,3,2,Congruent,2_0.673_0.000.png,0.5,0.679,0.0,2.5,21.0,0.5,0.5,hidden,22.0,0.5,0.5,fixation,0.5
68,3,20,Medium,20_0.959_0.306.png,0.5,0.962,0.313,2.5,24.0,0.5,0.5,hidden,25.0,0.5,0.5,fixation,0.5
69,3,3,Medium,3_0.224_0.224.png,0.5,0.215,0.224,2.5,27.0,0.5,0.5,hidden,28.0,0.5,0.5,fixation,0.5
70,3,18,Congruent,18_0.102_0.327.png,0.5,0.093,0.326,2.5,30.0,0.5,0.5,hidden,31.0,0.5,0.5,fixation,0.5
71,3,2,Congruent,2_0.714_0.163.png,0.5,0.712,0.163,2.5,33.0,0.5,0.5,hidden,34.0,0.5,0.5,fixation,0.5
72,3,1,Incongruent,1_0.592_0.143.png,0.5,0.597,0.133,2.5,36.0,0.5,0.5,hidden,37.0,0.5,0.5,fixation,0.5
73,3,18,Congruent,18_0.347_0.102.png,0.5,0.351,0.1,2.5,39.0,0.5,0.5,hidden,40.0,0.5,0.5,fixation,0.5
74,3,22,Incongruent,13b_0.755_0.878.png,0.5,0.747,0.88,2.5,42.0,0.5,0.5,hidden,43.0,0.5,0.5,fixation,0.5
75,3,20,Medium,20_0.857_0.184.png,0.5,0.854,0.181,2.5,45.0,0.5,0.5,hidden,46.0,0.5,0.5,fixation,0.5
76,3,9,Congruent,9_0.204_0.163.png,0.5,0.204,0.161,2.5,48.0,0.5,0.5,hidden,49.0,0.5,0.5,fixation,0.5
77,3,11,Incongruent,11_0.163_0.857.png,0.5,0.166,0.859,2.5,51.0,0.5,0.5,hidden,52.0,0.5,0.5,fixation,0.5
78,3,2,Congruent,2_0.959_0.163.png,0.5,0.961,0.155,2.5,54.0,0.5,0.5,hidden,55.0,0.5,0.5,fixation,0.5
79,3,20,Medium,20_0.796_0.224.png,0.5,0.79,0.216,2.5,57.0,0.5,0.5,hidden,58.0,0.5,0.5,fixation,0.5
80,3,8,Medium,8_0.816_0.633.png,0.5,0.82,0.633,2.5,60.0,0.5,0.5,hidden,61.0,0.5,0.5,fixation,0.5
81,3,11,Incongruent,11_0.224_0.939.png,0.5,0.218,0.932,2.5,63.0,0.5,0.5,hidden,64.0,0.5,0.5,fixation,0.5
82,3,18,Congruent,18_0.122_0.184.png,0.5,0.113,0.177,2.5,66.0,0.5,0.5,hidden,67.0,0.5,0.5,fixation,0.5
83,3,11,Incongruent,11_0.082_0.816.png,0.5,0.082,0.809,2.5,69.0,0.5,0.5,hidden,70.0,0.5,0.5,fixation,0.5
84,3,22,Incongruent,13b_0.673_0.857.png,0.5,0.673,0.849,2.5,72.0,0.5,0.5,hidden,73.0,0.5,0.5,fixation,0.5
85,3,1,Incongruent,1_0.837_0.490.png,0.5,0.827,0.499,2.5,75.0,0.5,0.5,hidden,76.0,0.5,0.5,fixation,0.5
86,3,8,Medium,8_0.878_0.857.png,0.5,0.872,0.865,2.5,78.0,0.5,0.5,hidden,79.0,0.5,0.5,fixation,0.5
87,3,2,Congruent,2_0.857_0.327.png,0.5,0.852,0.323,2.5,81.0,0.5,0.5,hidden,82.0,0.5,0.5,fixation,0.5
88,3,9,Congruent,9_0.122_0.204.png,0.5,0.13,0.213,2.5,84.0,0.5,0.5,hidden,85.0,0.5,0.5,fixation,0.5
89,3,18,Congruent,18_0.163_0.143.png,0.5,0.165,0.141,2.5,87.0,0.5,0.5,hidden,88.0,0.5,0.5,fixation,0.5
